caso,id,a,b,beta,x0,t,A_max_abs_u
8,a1_b0_beta200_x00,1,0,200,0,0.4,0.4152384371712287
8,a1_b0_beta200_x00,1,0,200,0,0.6,0.3747107376727834
8,a1_b0_beta200_x00,1,0,200,0,0.8,0.338014704494944
8,a1_b1_beta200_x00,1,1,200,0,0.2,0.4612527007584545
8,a1_b1_beta200_x00,1,1,200,0,0.4,0.4176049693566534
8,a1_b1_beta200_x00,1,1,200,0,0.6,0.3779312957267577
8,a1_b1_beta200_x00,1,1,200,0,0.8,0.3419059221351803
8,a2_bm1_beta200_x00,2,-1,200,0,0.2,0.4225314983347307
8,a2_bm1_beta200_x00,2,-1,200,0,0.4,0.3447388157799712
8,a2_bm1_beta200_x00,2,-1,200,0,0.6,0.2811551277458857
8,a2_bm1_beta200_x00,2,-1,200,0,0.8,0.2292171306148715
8,a2_b0_beta200_x00,2,0,200,0,0.2,0.4237192712521984
8,a2_b0_beta200_x00,2,0,200,0,0.4,0.3467024087383517
8,a2_b0_beta200_x00,2,0,200,0,0.6,0.2835716362837513
8,a2_b0_beta200_x00,2,0,200,0,0.8,0.2318563363360456
8,a2_b1_beta200_x00,2,1,200,0,0.2,0.4249087627440219
8,a2_b1_beta200_x00,2,1,200,0,0.4,0.3486723250541587
8,a2_b1_beta200_x00,2,1,200,0,0.6,0.2860000144793608
8,a2_b1_beta200_x00,2,1,200,0,0.8,0.2345129870738435
